ly_workshop_inventory			车间库存表
ly_workcenter_relation			工作中心关系表
ly_workcenter					工作中心
ly_userlogin					用户登录记录表
ly_user_role					用户角色关联表
ly_user							用户表
ly_site							站点表
ly_shoporder_sfc				工单SFC状态表
ly_shoporder					工单表
ly_sfc_step						SFC步骤状态表
ly_sfc_nc						SFC不良记录表					
ly_sfc_assembly					SFC装配表
ly_route_step					工艺路线步骤表
ly_role							角色表
ly_resources					系统资源表
ly_res_user						系统用户资源表
ly_process_route				工艺路线表
ly_pod_function					pod功能表
ly_pod_button					pod按钮表
ly_operation_resource			操作资源
ly_operation_pod				操作pod关系表
ly_operation					操作表
ly_nc_code_relation				不合格关系表
ly_nc_code_group				不合格代码组表
ly_nc_code						不合格代码表
ly_log							系统日志表
ly_item_bom_relation			物料清单与物料关系表
ly_item_bom						物料清单表
ly_item							物料表
ly_buttom						系统按钮表
